image_id,image_path,split,estimated_label,road_info_completeness,obstacle_info_completeness,clarity,exposure,real_world_applicability,quality_score
8_29,data/raw/8_29.png,train,0,21,20,7,16,6,70
8_4,data/raw/8_4.png,train,0,9,9,5,12,9,44
8_7,data/raw/8_7.png,train,0,18,16,6,16,9,65
8_9,data/raw/8_9.png,train,0,23,20,8,19,8,78
p00_s01,data/raw/p00_s01.png,train,1,16,23,17,15,10,81
p00_s02,data/raw/p00_s02.png,train,1,19,21,20,16,8,84
p00_s03,data/raw/p00_s03.png,train,1,17,22,20,16,8,83
p00_s04,data/raw/p00_s04.png,train,1,17,25,16,17,8,83
p00_s07,data/raw/p00_s07.png,train,1,25,23,19,16,10,93
p00_s09,data/raw/p00_s09.png,train,1,21,15,19,11,9,75
p00_s11,data/raw/p00_s11.png,train,1,24,24,18,16,5,87
p00_s12,data/raw/p00_s12.png,train,1,24,22,19,16,6,87
p00_s14,data/raw/p00_s14.png,train,1,19,23,20,20,8,90
p00_s16,data/raw/p00_s16.png,train,1,18,24,17,11,9,79
p00_s17,data/raw/p00_s17.png,train,1,23,21,19,20,8,91
p00_s19,data/raw/p00_s19.png,train,1,20,22,17,17,8,84
p00_s21,data/raw/p00_s21.png,train,1,23,23,16,12,8,82
p00_s22,data/raw/p00_s22.png,train,1,22,23,17,20,10,92
p00_s23,data/raw/p00_s23.png,train,1,15,25,20,19,10,89
p00_s24,data/raw/p00_s24.png,train,1,15,23,19,20,10,87
p00_s25,data/raw/p00_s25.png,train,1,19,22,19,20,10,90
p00_s27,data/raw/p00_s27.png,train,1,15,21,18,17,8,79
p00_s28,data/raw/p00_s28.png,train,1,18,22,16,19,8,83
p00_s29,data/raw/p00_s29.png,train,1,15,24,19,14,8,80
p01_s00,data/raw/p01_s00.png,train,0,7,21,7,18,8,61
p01_s04,data/raw/p01_s04.png,train,0,18,23,5,16,9,71
p01_s05,data/raw/p01_s05.png,train,1,20,24,18,17,5,84
p01_s06,data/raw/p01_s06.png,train,1,21,22,8,19,9,79
p01_s08,data/raw/p01_s08.png,train,1,24,24,9,20,10,87
p01_s09,data/raw/p01_s09.png,train,1,24,25,19,17,8,93
p01_s10,data/raw/p01_s10.png,train,1,25,25,7,20,8,85
p01_s11,data/raw/p01_s11.png,train,1,18,24,20,20,9,91
p01_s13,data/raw/p01_s13.png,train,1,24,23,7,20,8,82
p01_s14,data/raw/p01_s14.png,train,0,20,22,9,20,10,81
p01_s15,data/raw/p01_s15.png,train,0,15,22,5,16,9,67
p01_s17,data/raw/p01_s17.png,train,1,23,24,20,20,8,95
p01_s18,data/raw/p01_s18.png,train,1,22,21,6,19,10,78
p01_s19,data/raw/p01_s19.png,train,1,25,23,7,18,9,82
p01_s20,data/raw/p01_s20.png,train,1,18,24,12,18,10,82
p01_s21,data/raw/p01_s21.png,train,1,22,22,19,19,10,92
p01_s22,data/raw/p01_s22.png,train,1,25,21,6,18,8,78
p01_s23,data/raw/p01_s23.png,train,1,19,22,16,20,8,85
p01_s24,data/raw/p01_s24.png,train,1,24,23,20,20,8,95
p01_s26,data/raw/p01_s26.png,train,0,15,22,7,20,9,73
p01_s27,data/raw/p01_s27.png,train,0,19,21,7,19,10,76
p01_s29,data/raw/p01_s29.png,train,0,15,25,5,16,10,71
p02_s00,data/raw/p02_s00.png,train,1,15,22,20,13,8,78
p02_s01,data/raw/p02_s01.png,train,1,21,24,17,14,5,81
p02_s02,data/raw/p02_s02.png,train,1,22,24,19,12,8,85
p02_s03,data/raw/p02_s03.png,train,1,22,23,17,14,10,86
p02_s05,data/raw/p02_s05.png,train,1,17,25,19,14,10,85
p02_s07,data/raw/p02_s07.png,train,1,20,23,17,17,10,87
p02_s08,data/raw/p02_s08.png,train,1,24,25,18,11,7,85
p02_s09,data/raw/p02_s09.png,train,1,15,22,20,14,8,79
p02_s10,data/raw/p02_s10.png,train,1,18,21,19,15,8,81
p02_s11,data/raw/p02_s11.png,train,1,24,24,17,16,6,87
p02_s12,data/raw/p02_s12.png,train,1,22,25,19,17,6,89
p02_s13,data/raw/p02_s13.png,train,1,24,21,16,16,5,82
p02_s15,data/raw/p02_s15.png,train,0,19,23,17,15,5,79
p02_s16,data/raw/p02_s16.png,train,1,24,22,16,14,5,81
p02_s18,data/raw/p02_s18.png,train,1,21,25,18,18,8,90
p02_s20,data/raw/p02_s20.png,train,0,20,24,17,11,5,77
p02_s21,data/raw/p02_s21.png,train,1,22,22,17,13,9,83
p02_s22,data/raw/p02_s22.png,train,1,19,21,18,11,8,77
p02_s24,data/raw/p02_s24.png,train,1,16,23,18,20,5,82
p02_s28,data/raw/p02_s28.png,train,1,22,23,16,16,9,86
p02_s29,data/raw/p02_s29.png,train,1,21,25,17,13,8,84
p03_s01,data/raw/p03_s01.png,train,1,24,25,17,18,10,94
p03_s02,data/raw/p03_s02.png,train,1,20,23,17,17,8,85
p03_s03,data/raw/p03_s03.png,train,1,19,21,20,15,9,84
p03_s04,data/raw/p03_s04.png,train,1,24,24,9,18,8,83
p03_s07,data/raw/p03_s07.png,train,1,23,24,17,17,10,91
p03_s08,data/raw/p03_s08.png,train,1,25,20,16,15,9,85
p03_s09,data/raw/p03_s09.png,train,1,23,16,17,11,10,77
p03_s10,data/raw/p03_s10.png,train,1,22,21,11,18,10,82
p03_s11,data/raw/p03_s11.png,train,1,22,21,20,16,8,87
p03_s12,data/raw/p03_s12.png,train,1,20,25,16,20,8,89
p03_s14,data/raw/p03_s14.png,train,1,20,21,19,17,9,86
p03_s15,data/raw/p03_s15.png,train,1,20,22,18,16,8,84
p03_s16,data/raw/p03_s16.png,train,1,21,22,16,16,8,83
p03_s17,data/raw/p03_s17.png,train,1,15,25,20,18,10,88
p03_s18,data/raw/p03_s18.png,train,1,22,23,16,19,8,88
p03_s20,data/raw/p03_s20.png,train,1,23,21,19,18,9,90
p03_s21,data/raw/p03_s21.png,train,1,15,25,18,17,9,84
p03_s22,data/raw/p03_s22.png,train,1,20,23,19,18,10,90
p03_s23,data/raw/p03_s23.png,train,1,24,25,18,16,10,93
p03_s24,data/raw/p03_s24.png,train,1,22,25,20,19,9,95
p03_s26,data/raw/p03_s26.png,train,1,18,23,20,14,9,84
p03_s27,data/raw/p03_s27.png,train,1,17,22,18,18,9,84
p03_s28,data/raw/p03_s28.png,train,1,22,25,17,17,8,89
p04_s00,data/raw/p04_s00.png,train,1,21,25,19,12,9,86
p04_s01,data/raw/p04_s01.png,train,1,23,22,18,12,10,85
p04_s02,data/raw/p04_s02.png,train,1,15,23,20,12,8,78
p04_s06,data/raw/p04_s06.png,train,1,20,21,16,20,10,87
p04_s11,data/raw/p04_s11.png,train,1,19,23,18,13,8,81
p04_s12,data/raw/p04_s12.png,train,1,21,25,20,14,9,89
p04_s13,data/raw/p04_s13.png,train,1,16,24,18,17,8,83
p04_s14,data/raw/p04_s14.png,train,1,17,21,20,16,10,84
p04_s15,data/raw/p04_s15.png,train,1,15,25,16,19,8,83
p04_s17,data/raw/p04_s17.png,train,1,23,25,17,17,10,92
p04_s18,data/raw/p04_s18.png,train,1,25,25,17,12,10,89
p04_s20,data/raw/p04_s20.png,train,1,24,25,20,14,8,91
p04_s21,data/raw/p04_s21.png,train,1,21,21,17,14,10,83
p04_s22,data/raw/p04_s22.png,train,1,23,22,17,14,10,86
p04_s24,data/raw/p04_s24.png,train,1,18,24,17,13,9,81
p04_s25,data/raw/p04_s25.png,train,1,16,25,18,15,10,84
p04_s26,data/raw/p04_s26.png,train,1,15,21,20,13,8,77
p04_s28,data/raw/p04_s28.png,train,1,15,21,18,18,10,82
p05_s00,data/raw/p05_s00.png,train,1,25,24,7,19,9,84
p05_s04,data/raw/p05_s04.png,train,0,21,20,9,19,8,77
p05_s05,data/raw/p05_s05.png,train,0,23,18,6,17,9,73
p05_s06,data/raw/p05_s06.png,train,0,18,25,8,16,10,77
p05_s08,data/raw/p05_s08.png,train,1,25,24,7,18,10,84
p05_s09,data/raw/p05_s09.png,train,0,25,23,7,12,10,77
p05_s10,data/raw/p05_s10.png,train,0,20,24,5,17,10,76
p05_s11,data/raw/p05_s11.png,train,1,25,22,7,19,8,81
p05_s12,data/raw/p05_s12.png,train,0,21,20,7,16,9,73
p05_s14,data/raw/p05_s14.png,train,1,25,24,8,20,10,87
p05_s15,data/raw/p05_s15.png,train,1,21,22,8,18,10,79
p05_s16,data/raw/p05_s16.png,train,1,21,25,7,18,9,80
p05_s17,data/raw/p05_s17.png,train,1,25,24,6,19,10,84
p05_s18,data/raw/p05_s18.png,train,0,21,18,7,17,8,71
p05_s21,data/raw/p05_s21.png,train,0,23,24,7,12,9,75
p05_s22,data/raw/p05_s22.png,train,1,25,21,6,16,9,77
p05_s24,data/raw/p05_s24.png,train,1,23,22,8,17,9,79
p05_s25,data/raw/p05_s25.png,train,0,24,15,9,20,9,77
p05_s27,data/raw/p05_s27.png,train,0,21,16,8,19,9,73
p05_s28,data/raw/p05_s28.png,train,0,23,20,9,19,10,81
p06_s00,data/raw/p06_s00.png,train,1,18,24,17,11,8,78
p06_s01,data/raw/p06_s01.png,train,1,23,21,11,16,7,78
p06_s02,data/raw/p06_s02.png,train,1,16,25,13,17,10,81
p06_s03,data/raw/p06_s03.png,train,0,16,25,8,18,10,77
p06_s04,data/raw/p06_s04.png,train,1,24,25,12,20,9,90
p06_s05,data/raw/p06_s05.png,train,1,16,24,17,19,9,85
p06_s07,data/raw/p06_s07.png,train,1,16,23,20,19,8,86
p06_s08,data/raw/p06_s08.png,train,0,19,22,9,17,10,77
p06_s09,data/raw/p06_s09.png,train,1,25,25,18,6,9,83
p06_s10,data/raw/p06_s10.png,train,1,22,23,20,16,10,91
p06_s15,data/raw/p06_s15.png,train,1,25,25,17,15,8,90
p06_s16,data/raw/p06_s16.png,train,1,16,24,20,17,10,87
p06_s17,data/raw/p06_s17.png,train,1,21,25,13,17,10,86
p06_s18,data/raw/p06_s18.png,train,1,24,25,20,12,9,90
p06_s19,data/raw/p06_s19.png,train,1,17,22,16,19,9,83
p06_s20,data/raw/p06_s20.png,train,1,25,23,17,19,10,94
p06_s23,data/raw/p06_s23.png,train,1,23,22,17,20,10,92
p06_s24,data/raw/p06_s24.png,train,1,20,22,16,20,10,88
p06_s26,data/raw/p06_s26.png,train,1,23,24,17,20,9,93
p06_s27,data/raw/p06_s27.png,train,1,19,25,20,16,10,90
p06_s28,data/raw/p06_s28.png,train,1,22,24,20,17,8,91
p07_s00,data/raw/p07_s00.png,train,1,25,21,20,15,10,91
p07_s01,data/raw/p07_s01.png,train,1,17,25,20,15,8,85
p07_s03,data/raw/p07_s03.png,train,0,16,25,16,8,8,73
p07_s04,data/raw/p07_s04.png,train,1,25,24,20,17,9,95
p07_s05,data/raw/p07_s05.png,train,1,16,23,17,20,10,86
p07_s07,data/raw/p07_s07.png,train,1,23,23,19,18,10,93
p07_s08,data/raw/p07_s08.png,train,1,21,23,20,12,9,85
p07_s09,data/raw/p07_s09.png,train,1,22,23,18,11,8,82
p07_s10,data/raw/p07_s10.png,train,1,23,22,18,13,8,84
p07_s12,data/raw/p07_s12.png,train,1,15,25,17,18,9,84
p07_s13,data/raw/p07_s13.png,train,0,18,23,17,8,8,74
p07_s14,data/raw/p07_s14.png,train,1,17,21,17,12,8,75
p07_s17,data/raw/p07_s17.png,train,1,21,21,20,9,9,80
p07_s18,data/raw/p07_s18.png,train,1,23,25,19,20,10,97
p07_s20,data/raw/p07_s20.png,train,1,20,24,19,20,10,93
p07_s21,data/raw/p07_s21.png,train,0,17,21,17,8,8,71
p07_s22,data/raw/p07_s22.png,train,1,23,25,19,11,8,86
p07_s23,data/raw/p07_s23.png,train,1,21,24,17,20,10,92
p07_s25,data/raw/p07_s25.png,train,1,23,21,18,13,10,85
p07_s27,data/raw/p07_s27.png,train,1,19,21,19,20,8,87
p07_s28,data/raw/p07_s28.png,train,1,22,21,16,11,8,78
p07_s29,data/raw/p07_s29.png,train,1,16,23,16,14,10,79
p08_s01,data/raw/p08_s01.png,train,1,17,22,19,19,8,85
p08_s03,data/raw/p08_s03.png,train,1,21,25,9,20,8,83
p08_s06,data/raw/p08_s06.png,train,1,21,22,17,16,9,85
p08_s07,data/raw/p08_s07.png,train,1,15,22,20,19,9,85
p08_s09,data/raw/p08_s09.png,train,1,21,23,18,15,9,86
p08_s10,data/raw/p08_s10.png,train,0,20,22,16,14,6,78
p08_s11,data/raw/p08_s11.png,train,0,11,24,18,19,7,79
p08_s13,data/raw/p08_s13.png,train,1,24,23,17,18,8,90
p08_s17,data/raw/p08_s17.png,train,1,24,22,18,17,9,90
p08_s18,data/raw/p08_s18.png,train,1,20,24,20,18,8,90
p08_s20,data/raw/p08_s20.png,train,1,17,25,17,19,8,86
p08_s22,data/raw/p08_s22.png,train,1,16,23,16,19,10,84
p08_s23,data/raw/p08_s23.png,train,1,25,23,17,18,5,88
p08_s24,data/raw/p08_s24.png,train,1,21,22,20,19,8,90
p08_s25,data/raw/p08_s25.png,train,0,7,22,20,14,9,72
p08_s27,data/raw/p08_s27.png,train,1,23,22,17,18,9,89
p08_s28,data/raw/p08_s28.png,train,1,23,25,19,18,8,93
p09_s05,data/raw/p09_s05.png,train,1,24,24,16,17,10,91
p09_s06,data/raw/p09_s06.png,train,0,17,21,17,12,6,73
p09_s07,data/raw/p09_s07.png,train,0,16,21,17,12,6,72
p09_s11,data/raw/p09_s11.png,train,1,24,24,18,15,7,88
p09_s12,data/raw/p09_s12.png,train,1,25,23,18,17,8,91
p09_s15,data/raw/p09_s15.png,train,0,15,21,19,9,8,72
p09_s16,data/raw/p09_s16.png,train,1,19,24,20,14,6,83
p09_s17,data/raw/p09_s17.png,train,0,16,21,20,15,7,79
p09_s18,data/raw/p09_s18.png,train,1,22,21,18,13,6,80
p09_s22,data/raw/p09_s22.png,train,1,24,24,16,13,8,85
p09_s23,data/raw/p09_s23.png,train,1,25,24,16,20,9,94
p09_s24,data/raw/p09_s24.png,train,1,22,21,20,11,9,83
p09_s25,data/raw/p09_s25.png,train,0,16,21,17,11,7,72
p09_s27,data/raw/p09_s27.png,train,1,20,23,18,19,8,88
p6_seed22,data/raw/p6_seed22.jpg,train,1,25,23,7,18,8,81
p6_seed23,data/raw/p6_seed23.jpg,train,0,8,25,11,18,9,71
p6_seed26,data/raw/p6_seed26.jpg,train,1,25,25,18,11,8,87
p6_seed27,data/raw/p6_seed27.jpg,train,1,21,22,12,18,8,81
p6_seed29,data/raw/p6_seed29.jpg,train,1,15,25,17,20,9,86
p7_seed10,data/raw/p7_seed10.jpg,train,0,8,24,17,12,10,71
p7_seed13,data/raw/p7_seed13.jpg,train,1,10,24,18,19,10,81
p7_seed14,data/raw/p7_seed14.jpg,train,1,23,25,20,18,10,96
p7_seed15,data/raw/p7_seed15.jpg,train,0,8,22,19,16,5,70
p7_seed16,data/raw/p7_seed16.jpg,train,1,18,22,16,17,10,83
p7_seed2,data/raw/p7_seed2.jpg,train,1,20,25,18,19,8,90
p7_seed21,data/raw/p7_seed21.jpg,train,0,9,25,18,14,8,74
p7_seed22,data/raw/p7_seed22.jpg,train,1,16,21,20,19,10,86
p7_seed23,data/raw/p7_seed23.jpg,train,1,17,23,14,17,9,80
p7_seed25,data/raw/p7_seed25.jpg,train,0,11,23,16,14,8,72
p7_seed26,data/raw/p7_seed26.jpg,train,0,8,21,17,13,10,69
p7_seed27,data/raw/p7_seed27.jpg,train,1,16,24,20,17,8,85
p7_seed29,data/raw/p7_seed29.jpg,train,1,23,24,16,19,6,88
p7_seed4,data/raw/p7_seed4.jpg,train,1,19,22,13,19,10,83
p7_seed6,data/raw/p7_seed6.jpg,train,1,21,22,17,19,6,85
p7_seed9,data/raw/p7_seed9.jpg,train,1,22,22,18,15,10,87
p8_seed0,data/raw/p8_seed0.jpg,train,0,16,22,5,18,10,71
p8_seed1,data/raw/p8_seed1.jpg,train,1,18,23,17,18,8,84
p8_seed10,data/raw/p8_seed10.jpg,train,0,20,22,8,19,8,77
p8_seed14,data/raw/p8_seed14.jpg,train,0,21,19,6,18,10,74
p8_seed15,data/raw/p8_seed15.jpg,train,0,21,21,8,14,10,74
p8_seed17,data/raw/p8_seed17.jpg,train,0,24,24,6,13,10,77
p8_seed19,data/raw/p8_seed19.jpg,train,1,24,23,6,18,10,81
p8_seed2,data/raw/p8_seed2.jpg,train,1,23,25,5,20,10,83
p8_seed20,data/raw/p8_seed20.jpg,train,1,25,21,20,13,9,88
p8_seed21,data/raw/p8_seed21.jpg,train,0,21,20,7,14,9,71
p8_seed23,data/raw/p8_seed23.jpg,train,0,25,25,5,12,8,75
p8_seed25,data/raw/p8_seed25.jpg,train,0,21,22,7,11,8,69
p8_seed26,data/raw/p8_seed26.jpg,train,0,7,23,19,14,8,71
p8_seed27,data/raw/p8_seed27.jpg,train,1,23,23,9,18,10,83
p8_seed28,data/raw/p8_seed28.jpg,train,1,22,23,7,18,10,80
p8_seed29,data/raw/p8_seed29.jpg,train,0,18,21,6,19,8,72
p8_seed5,data/raw/p8_seed5.jpg,train,0,15,21,9,16,9,70
p8_seed8,data/raw/p8_seed8.jpg,train,0,23,24,7,12,9,75
p8_seed9,data/raw/p8_seed9.jpg,train,1,16,24,16,15,9,80
p9_seed1,data/raw/p9_seed1.jpg,train,1,22,25,19,20,8,94
p9_seed11,data/raw/p9_seed11.jpg,train,1,15,24,16,18,10,83
p9_seed12,data/raw/p9_seed12.jpg,train,1,21,23,18,18,8,88
p9_seed14,data/raw/p9_seed14.jpg,train,0,18,25,8,16,10,77
p9_seed15,data/raw/p9_seed15.jpg,train,1,16,23,12,20,10,81
p9_seed16,data/raw/p9_seed16.jpg,train,0,24,24,14,11,6,79
p9_seed17,data/raw/p9_seed17.jpg,train,1,25,23,18,17,9,92
p9_seed18,data/raw/p9_seed18.jpg,train,0,22,11,6,18,8,65
p9_seed19,data/raw/p9_seed19.jpg,train,1,23,23,6,19,10,81
p9_seed2,data/raw/p9_seed2.jpg,train,0,15,24,15,20,7,81
p9_seed21,data/raw/p9_seed21.jpg,train,1,24,23,20,17,10,94
p9_seed22,data/raw/p9_seed22.jpg,train,1,21,22,11,16,8,78
p9_seed25,data/raw/p9_seed25.jpg,train,1,21,23,6,18,9,77
p9_seed29,data/raw/p9_seed29.jpg,train,1,23,21,20,19,9,92
p9_seed4,data/raw/p9_seed4.jpg,train,0,24,22,8,12,8,74
p9_seed5,data/raw/p9_seed5.jpg,train,1,23,23,19,19,9,93
p9_seed6,data/raw/p9_seed6.jpg,train,0,15,15,18,20,5,73
p9_seed7,data/raw/p9_seed7.jpg,train,0,16,23,5,20,6,70
p9_seed8,data/raw/p9_seed8.jpg,train,0,18,22,7,20,8,75
p9_seed9,data/raw/p9_seed9.jpg,train,0,16,21,7,18,10,72
