image_id,image_path,road_info_completeness,obstacle_info_completeness,clarity,exposure,real_world_applicability,quality_score
p02_s02,data/raw/p02_s02.png,22,24,19,12,8,85
p02_s03,data/raw/p02_s03.png,22,23,17,14,10,86
p02_s05,data/raw/p02_s05.png,17,25,19,14,10,85
p02_s07,data/raw/p02_s07.png,20,23,17,17,10,87
p02_s08,data/raw/p02_s08.png,24,25,18,11,7,85
p02_s09,data/raw/p02_s09.png,15,22,20,14,8,79
p02_s10,data/raw/p02_s10.png,18,21,19,15,8,81
p02_s11,data/raw/p02_s11.png,24,24,17,16,6,87
p02_s12,data/raw/p02_s12.png,22,25,19,17,6,89
p02_s13,data/raw/p02_s13.png,24,21,16,16,5,82
p02_s15,data/raw/p02_s15.png,19,23,17,15,5,79
p02_s16,data/raw/p02_s16.png,24,22,16,14,5,81
p02_s18,data/raw/p02_s18.png,21,25,18,18,8,90
p02_s20,data/raw/p02_s20.png,20,24,17,11,5,77
p02_s21,data/raw/p02_s21.png,22,22,17,13,9,83
p02_s22,data/raw/p02_s22.png,19,21,18,11,8,77
p02_s24,data/raw/p02_s24.png,16,23,18,20,5,82
p02_s28,data/raw/p02_s28.png,22,23,16,16,9,86
p02_s29,data/raw/p02_s29.png,21,25,17,13,8,84
p03_s01,data/raw/p03_s01.png,24,25,17,18,10,94
p03_s02,data/raw/p03_s02.png,20,23,17,17,8,85
p03_s03,data/raw/p03_s03.png,19,21,20,15,9,84
p03_s04,data/raw/p03_s04.png,24,24,9,18,8,83
p03_s07,data/raw/p03_s07.png,23,24,17,17,10,91
p03_s08,data/raw/p03_s08.png,25,20,16,15,9,85
p03_s09,data/raw/p03_s09.png,23,16,17,11,10,77
p03_s10,data/raw/p03_s10.png,22,21,11,18,10,82
p03_s11,data/raw/p03_s11.png,22,21,20,16,8,87
p03_s12,data/raw/p03_s12.png,20,25,16,20,8,89
p03_s14,data/raw/p03_s14.png,20,21,19,17,9,86
p03_s15,data/raw/p03_s15.png,20,22,18,16,8,84
p03_s16,data/raw/p03_s16.png,21,22,16,16,8,83
p03_s17,data/raw/p03_s17.png,15,25,20,18,10,88
p03_s18,data/raw/p03_s18.png,22,23,16,19,8,88
p03_s20,data/raw/p03_s20.png,23,21,19,18,9,90
p03_s21,data/raw/p03_s21.png,15,25,18,17,9,84
p03_s22,data/raw/p03_s22.png,20,23,19,18,10,90
p03_s23,data/raw/p03_s23.png,24,25,18,16,10,93
p03_s24,data/raw/p03_s24.png,22,25,20,19,9,95
p03_s26,data/raw/p03_s26.png,18,23,20,14,9,84
p03_s27,data/raw/p03_s27.png,17,22,18,18,9,84
p03_s28,data/raw/p03_s28.png,22,25,17,17,8,89
p04_s00,data/raw/p04_s00.png,21,25,19,12,9,86
p04_s01,data/raw/p04_s01.png,23,22,18,12,10,85
p04_s02,data/raw/p04_s02.png,15,23,20,12,8,78
p04_s06,data/raw/p04_s06.png,20,21,16,20,10,87
p04_s11,data/raw/p04_s11.png,19,23,18,13,8,81
p04_s12,data/raw/p04_s12.png,21,25,20,14,9,89
p04_s13,data/raw/p04_s13.png,16,24,18,17,8,83
p04_s14,data/raw/p04_s14.png,17,21,20,16,10,84
p04_s15,data/raw/p04_s15.png,15,25,16,19,8,83
p04_s17,data/raw/p04_s17.png,23,25,17,17,10,92
p04_s18,data/raw/p04_s18.png,25,25,17,12,10,89
p04_s20,data/raw/p04_s20.png,24,25,20,14,8,91
p04_s21,data/raw/p04_s21.png,21,21,17,14,10,83
p04_s22,data/raw/p04_s22.png,23,22,17,14,10,86
p04_s24,data/raw/p04_s24.png,18,24,17,13,9,81
p04_s25,data/raw/p04_s25.png,16,25,18,15,10,84
p04_s26,data/raw/p04_s26.png,15,21,20,13,8,77
p04_s28,data/raw/p04_s28.png,15,21,18,18,10,82
p05_s00,data/raw/p05_s00.png,25,24,7,19,9,84
p05_s04,data/raw/p05_s04.png,21,20,9,19,8,77
p05_s05,data/raw/p05_s05.png,23,18,6,17,9,73
p05_s06,data/raw/p05_s06.png,18,25,8,16,10,77
p05_s08,data/raw/p05_s08.png,25,24,7,18,10,84
p05_s09,data/raw/p05_s09.png,25,23,7,12,10,77
p05_s10,data/raw/p05_s10.png,20,24,5,17,10,76
p05_s11,data/raw/p05_s11.png,25,22,7,19,8,81
p05_s12,data/raw/p05_s12.png,21,20,7,16,9,73
p05_s14,data/raw/p05_s14.png,25,24,8,20,10,87
p05_s15,data/raw/p05_s15.png,21,22,8,18,10,79
p05_s16,data/raw/p05_s16.png,21,25,7,18,9,80
p05_s17,data/raw/p05_s17.png,25,24,6,19,10,84
p05_s18,data/raw/p05_s18.png,21,18,7,17,8,71
p05_s21,data/raw/p05_s21.png,23,24,7,12,9,75
p05_s22,data/raw/p05_s22.png,25,21,6,16,9,77
p05_s24,data/raw/p05_s24.png,23,22,8,17,9,79
p05_s25,data/raw/p05_s25.png,24,15,9,20,9,77
p05_s27,data/raw/p05_s27.png,21,16,8,19,9,73
p05_s28,data/raw/p05_s28.png,23,20,9,19,10,81
p06_s00,data/raw/p06_s00.png,18,24,17,11,8,78
p06_s01,data/raw/p06_s01.png,23,21,11,16,7,78
p06_s02,data/raw/p06_s02.png,16,25,13,17,10,81
p06_s03,data/raw/p06_s03.png,16,25,8,18,10,77
p06_s04,data/raw/p06_s04.png,24,25,12,20,9,90
p06_s05,data/raw/p06_s05.png,16,24,17,19,9,85
p06_s07,data/raw/p06_s07.png,16,23,20,19,8,86
p06_s08,data/raw/p06_s08.png,19,22,9,17,10,77
p06_s09,data/raw/p06_s09.png,25,25,18,6,9,83
p06_s10,data/raw/p06_s10.png,22,23,20,16,10,91
p06_s15,data/raw/p06_s15.png,25,25,17,15,8,90
p06_s16,data/raw/p06_s16.png,16,24,20,17,10,87
p06_s17,data/raw/p06_s17.png,21,25,13,17,10,86
p06_s18,data/raw/p06_s18.png,24,25,20,12,9,90
p06_s19,data/raw/p06_s19.png,17,22,16,19,9,83
p06_s20,data/raw/p06_s20.png,25,23,17,19,10,94
p06_s23,data/raw/p06_s23.png,23,22,17,20,10,92
p06_s24,data/raw/p06_s24.png,20,22,16,20,10,88
p06_s26,data/raw/p06_s26.png,23,24,17,20,9,93
p06_s27,data/raw/p06_s27.png,19,25,20,16,10,90
p06_s28,data/raw/p06_s28.png,22,24,20,17,8,91
p07_s00,data/raw/p07_s00.png,25,21,20,15,10,91
p07_s01,data/raw/p07_s01.png,17,25,20,15,8,85
p07_s03,data/raw/p07_s03.png,16,25,16,8,8,73
p07_s04,data/raw/p07_s04.png,25,24,20,17,9,95
p07_s05,data/raw/p07_s05.png,16,23,17,20,10,86
p07_s07,data/raw/p07_s07.png,23,23,19,18,10,93
p07_s08,data/raw/p07_s08.png,21,23,20,12,9,85
p07_s09,data/raw/p07_s09.png,22,23,18,11,8,82
p07_s10,data/raw/p07_s10.png,23,22,18,13,8,84
p07_s12,data/raw/p07_s12.png,15,25,17,18,9,84
p07_s13,data/raw/p07_s13.png,18,23,17,8,8,74
p07_s14,data/raw/p07_s14.png,17,21,17,12,8,75
p07_s17,data/raw/p07_s17.png,21,21,20,9,9,80
p07_s18,data/raw/p07_s18.png,23,25,19,20,10,97
p07_s20,data/raw/p07_s20.png,20,24,19,20,10,93
p07_s21,data/raw/p07_s21.png,17,21,17,8,8,71
p07_s22,data/raw/p07_s22.png,23,25,19,11,8,86
p07_s23,data/raw/p07_s23.png,21,24,17,20,10,92
p07_s25,data/raw/p07_s25.png,23,21,18,13,10,85
p07_s27,data/raw/p07_s27.png,19,21,19,20,8,87
p07_s28,data/raw/p07_s28.png,22,21,16,11,8,78
p07_s29,data/raw/p07_s29.png,16,23,16,14,10,79
p08_s01,data/raw/p08_s01.png,17,22,19,19,8,85
p08_s03,data/raw/p08_s03.png,21,25,9,20,8,83
p08_s06,data/raw/p08_s06.png,21,22,17,16,9,85
p08_s07,data/raw/p08_s07.png,15,22,20,19,9,85
p08_s09,data/raw/p08_s09.png,21,23,18,15,9,86
p08_s10,data/raw/p08_s10.png,20,22,16,14,6,78
p08_s11,data/raw/p08_s11.png,11,24,18,19,7,79
p08_s13,data/raw/p08_s13.png,24,23,17,18,8,90
p08_s17,data/raw/p08_s17.png,24,22,18,17,9,90
p08_s18,data/raw/p08_s18.png,20,24,20,18,8,90
p08_s20,data/raw/p08_s20.png,17,25,17,19,8,86
p08_s22,data/raw/p08_s22.png,16,23,16,19,10,84
p08_s23,data/raw/p08_s23.png,25,23,17,18,5,88
p08_s24,data/raw/p08_s24.png,21,22,20,19,8,90
p08_s25,data/raw/p08_s25.png,7,22,20,14,9,72
p08_s27,data/raw/p08_s27.png,23,22,17,18,9,89
p08_s28,data/raw/p08_s28.png,23,25,19,18,8,93
p09_s05,data/raw/p09_s05.png,24,24,16,17,10,91
p09_s06,data/raw/p09_s06.png,17,21,17,12,6,73
p09_s07,data/raw/p09_s07.png,16,21,17,12,6,72
p09_s11,data/raw/p09_s11.png,24,24,18,15,7,88
p09_s12,data/raw/p09_s12.png,25,23,18,17,8,91
p09_s15,data/raw/p09_s15.png,15,21,19,9,8,72
p09_s16,data/raw/p09_s16.png,19,24,20,14,6,83
p09_s17,data/raw/p09_s17.png,16,21,20,15,7,79
p09_s18,data/raw/p09_s18.png,22,21,18,13,6,80
p09_s22,data/raw/p09_s22.png,24,24,16,13,8,85
p09_s23,data/raw/p09_s23.png,25,24,16,20,9,94
p09_s24,data/raw/p09_s24.png,22,21,20,11,9,83
p09_s25,data/raw/p09_s25.png,16,21,17,11,7,72
p09_s27,data/raw/p09_s27.png,20,23,18,19,8,88
p6_seed22,data/raw/p6_seed22.jpg,25,23,7,18,8,81
p6_seed23,data/raw/p6_seed23.jpg,8,25,11,18,9,71
p6_seed26,data/raw/p6_seed26.jpg,25,25,18,11,8,87
p6_seed27,data/raw/p6_seed27.jpg,21,22,12,18,8,81
p6_seed29,data/raw/p6_seed29.jpg,15,25,17,20,9,86
p7_seed10,data/raw/p7_seed10.jpg,8,24,17,12,10,71
p7_seed13,data/raw/p7_seed13.jpg,10,24,18,19,10,81
p7_seed14,data/raw/p7_seed14.jpg,23,25,20,18,10,96
p7_seed15,data/raw/p7_seed15.jpg,8,22,19,16,5,70
p7_seed16,data/raw/p7_seed16.jpg,18,22,16,17,10,83
p7_seed2,data/raw/p7_seed2.jpg,20,25,18,19,8,90
p7_seed21,data/raw/p7_seed21.jpg,9,25,18,14,8,74
p7_seed22,data/raw/p7_seed22.jpg,16,21,20,19,10,86
p7_seed23,data/raw/p7_seed23.jpg,17,23,14,17,9,80
p7_seed25,data/raw/p7_seed25.jpg,11,23,16,14,8,72
p7_seed26,data/raw/p7_seed26.jpg,8,21,17,13,10,69
p7_seed27,data/raw/p7_seed27.jpg,16,24,20,17,8,85
p7_seed29,data/raw/p7_seed29.jpg,23,24,16,19,6,88
p7_seed4,data/raw/p7_seed4.jpg,19,22,13,19,10,83
p7_seed6,data/raw/p7_seed6.jpg,21,22,17,19,6,85
p7_seed9,data/raw/p7_seed9.jpg,22,22,18,15,10,87
p8_seed0,data/raw/p8_seed0.jpg,16,22,5,18,10,71
p8_seed1,data/raw/p8_seed1.jpg,18,23,17,18,8,84
p8_seed10,data/raw/p8_seed10.jpg,20,22,8,19,8,77
p8_seed14,data/raw/p8_seed14.jpg,21,19,6,18,10,74
p8_seed15,data/raw/p8_seed15.jpg,21,21,8,14,10,74
p8_seed17,data/raw/p8_seed17.jpg,24,24,6,13,10,77
p8_seed19,data/raw/p8_seed19.jpg,24,23,6,18,10,81
p8_seed2,data/raw/p8_seed2.jpg,23,25,5,20,10,83
p8_seed20,data/raw/p8_seed20.jpg,25,21,20,13,9,88
p8_seed21,data/raw/p8_seed21.jpg,21,20,7,14,9,71
p8_seed23,data/raw/p8_seed23.jpg,25,25,5,12,8,75
p8_seed25,data/raw/p8_seed25.jpg,21,22,7,11,8,69
p8_seed26,data/raw/p8_seed26.jpg,7,23,19,14,8,71
p8_seed27,data/raw/p8_seed27.jpg,23,23,9,18,10,83
p8_seed28,data/raw/p8_seed28.jpg,22,23,7,18,10,80
p8_seed29,data/raw/p8_seed29.jpg,18,21,6,19,8,72
p8_seed5,data/raw/p8_seed5.jpg,15,21,9,16,9,70
p8_seed8,data/raw/p8_seed8.jpg,23,24,7,12,9,75
p8_seed9,data/raw/p8_seed9.jpg,16,24,16,15,9,80
p9_seed1,data/raw/p9_seed1.jpg,22,25,19,20,8,94
p9_seed11,data/raw/p9_seed11.jpg,15,24,16,18,10,83
p9_seed12,data/raw/p9_seed12.jpg,21,23,18,18,8,88
p9_seed14,data/raw/p9_seed14.jpg,18,25,8,16,10,77
p9_seed15,data/raw/p9_seed15.jpg,16,23,12,20,10,81
p9_seed16,data/raw/p9_seed16.jpg,24,24,14,11,6,79
p9_seed17,data/raw/p9_seed17.jpg,25,23,18,17,9,92
p9_seed18,data/raw/p9_seed18.jpg,22,11,6,18,8,65
p9_seed19,data/raw/p9_seed19.jpg,23,23,6,19,10,81
p9_seed2,data/raw/p9_seed2.jpg,15,24,15,20,7,81
p9_seed21,data/raw/p9_seed21.jpg,24,23,20,17,10,94
p9_seed22,data/raw/p9_seed22.jpg,21,22,11,16,8,78
p9_seed25,data/raw/p9_seed25.jpg,21,23,6,18,9,77
p9_seed29,data/raw/p9_seed29.jpg,23,21,20,19,9,92
p9_seed4,data/raw/p9_seed4.jpg,24,22,8,12,8,74
p9_seed5,data/raw/p9_seed5.jpg,23,23,19,19,9,93
p9_seed6,data/raw/p9_seed6.jpg,15,15,18,20,5,73
p9_seed7,data/raw/p9_seed7.jpg,16,23,5,20,6,70
p9_seed8,data/raw/p9_seed8.jpg,18,22,7,20,8,75
p9_seed9,data/raw/p9_seed9.jpg,16,21,7,18,10,72
5_1,data/raw/5_1.png,25,24,15,16,9,89
5_12,data/raw/5_12.png,17,23,11,18,5,74
5_15,data/raw/5_15.png,18,22,20,19,5,84
5_17,data/raw/5_17.png,11,23,14,18,5,71
5_23,data/raw/5_23.png,19,21,19,18,5,82
7_16,data/raw/7_16.png,19,21,19,19,9,87
7_17,data/raw/7_17.png,24,23,18,13,6,84
7_24,data/raw/7_24.png,25,11,16,13,8,73
7_26,data/raw/7_26.png,23,23,18,13,9,86
8_0,data/raw/8_0.png,25,24,11,18,8,86
8_15,data/raw/8_15.png,22,23,7,20,8,80
8_16,data/raw/8_16.png,25,11,8,15,6,65
8_24,data/raw/8_24.png,22,7,5,13,8,55
8_5,data/raw/8_5.png,22,22,13,12,5,74
8_6,data/raw/8_6.png,15,19,8,19,9,70
8_8,data/raw/8_8.png,23,8,9,17,6,63
p00_s05,data/raw/p00_s05.png,24,21,19,13,8,85
p00_s06,data/raw/p00_s06.png,21,24,16,19,8,88
p00_s10,data/raw/p00_s10.png,20,22,20,18,9,89
p00_s13,data/raw/p00_s13.png,23,21,19,19,8,90
p00_s18,data/raw/p00_s18.png,25,24,18,19,8,94
p01_s01,data/raw/p01_s01.png,17,23,20,18,9,87
p01_s03,data/raw/p01_s03.png,22,25,6,19,8,80
p01_s07,data/raw/p01_s07.png,23,22,7,20,9,81
p01_s12,data/raw/p01_s12.png,24,23,18,17,10,92
p02_s06,data/raw/p02_s06.png,23,21,16,13,6,79
p02_s19,data/raw/p02_s19.png,19,25,18,20,5,87
p02_s23,data/raw/p02_s23.png,22,21,19,16,6,84
p02_s27,data/raw/p02_s27.png,18,25,19,17,9,88
p03_s06,data/raw/p03_s06.png,22,23,14,19,8,86
p04_s03,data/raw/p04_s03.png,23,17,19,15,8,82
p04_s04,data/raw/p04_s04.png,20,21,16,18,10,85
p04_s07,data/raw/p04_s07.png,22,25,19,19,9,94
p04_s08,data/raw/p04_s08.png,16,23,18,20,8,85
p04_s19,data/raw/p04_s19.png,19,25,19,11,9,83
p04_s29,data/raw/p04_s29.png,19,22,19,18,10,88
p05_s02,data/raw/p05_s02.png,25,15,9,18,10,77
p05_s03,data/raw/p05_s03.png,25,20,5,18,10,78
p05_s20,data/raw/p05_s20.png,24,20,5,16,10,75
p05_s23,data/raw/p05_s23.png,24,25,18,19,9,95
p06_s11,data/raw/p06_s11.png,25,24,18,18,9,94
p06_s12,data/raw/p06_s12.png,24,24,17,19,10,94
p06_s14,data/raw/p06_s14.png,17,24,15,20,9,85
p06_s22,data/raw/p06_s22.png,24,22,18,19,8,91
p07_s15,data/raw/p07_s15.png,19,25,18,13,9,84
p07_s24,data/raw/p07_s24.png,15,24,20,17,9,85
p08_s00,data/raw/p08_s00.png,25,22,19,20,7,93
p08_s02,data/raw/p08_s02.png,17,25,17,19,9,87
p08_s05,data/raw/p08_s05.png,25,21,13,18,10,87
p08_s14,data/raw/p08_s14.png,18,24,16,16,9,83
p08_s15,data/raw/p08_s15.png,19,24,17,18,6,84
p08_s21,data/raw/p08_s21.png,18,25,16,16,7,82
p09_s01,data/raw/p09_s01.png,23,21,16,16,9,85
p09_s02,data/raw/p09_s02.png,23,22,16,14,8,83
p09_s03,data/raw/p09_s03.png,23,21,20,13,10,87
p09_s09,data/raw/p09_s09.png,21,18,17,5,8,69
p09_s13,data/raw/p09_s13.png,16,25,20,17,8,86
p09_s14,data/raw/p09_s14.png,18,21,17,13,10,79
p09_s19,data/raw/p09_s19.png,16,22,19,13,6,76
p09_s20,data/raw/p09_s20.png,17,21,13,18,5,74
p09_s26,data/raw/p09_s26.png,23,22,19,20,9,93
p09_s28,data/raw/p09_s28.png,16,23,13,12,8,72
p09_s29,data/raw/p09_s29.png,18,25,15,14,9,81
p6_seed20,data/raw/p6_seed20.jpg,20,25,12,20,9,86
p6_seed24,data/raw/p6_seed24.jpg,21,19,12,16,9,77
p7_seed1,data/raw/p7_seed1.jpg,10,22,15,18,10,75
p7_seed12,data/raw/p7_seed12.jpg,20,21,17,17,10,85
p7_seed18,data/raw/p7_seed18.jpg,23,25,17,20,9,94
p7_seed19,data/raw/p7_seed19.jpg,8,21,20,11,9,69
p7_seed5,data/raw/p7_seed5.jpg,24,23,18,20,9,94
p7_seed8,data/raw/p7_seed8.jpg,22,23,17,17,9,88
p8_seed11,data/raw/p8_seed11.jpg,20,24,9,19,9,81
p8_seed12,data/raw/p8_seed12.jpg,22,23,6,20,5,76
p8_seed22,data/raw/p8_seed22.jpg,22,22,5,17,5,71
p8_seed4,data/raw/p8_seed4.jpg,21,15,6,16,8,66
p8_seed6,data/raw/p8_seed6.jpg,23,24,12,18,9,86
p9_seed13,data/raw/p9_seed13.jpg,18,19,16,19,10,82
p9_seed23,data/raw/p9_seed23.jpg,22,7,11,13,8,61
p9_seed24,data/raw/p9_seed24.jpg,25,22,19,14,10,90
p9_seed26,data/raw/p9_seed26.jpg,22,22,11,19,10,84
